external_id,name_ar,name_en,facility_type,governorate,governorate_ar,city,address,phone,specialty,source,latitude,longitude,working_hours,home_services,emergency_24_7
nodes:6318358185,عيادات فور كيدز لطب الأطفال,4 Kids Clinic,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.239903,29.9993576,,0,0
nodes:8997180445,عياده الدكتور اميل عطالله,Doctor Emil Attallah Clinic,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2627606,30.0074204,,0,0
nodes:9074826432,عياده الدكتور اميل عطالله,Dr Emil Attallah Clinic,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2640047,30.0060922,,0,0
nodes:5237673858,دكتور ياسر يحيي,Dr. Yasser Yehia,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2142751,29.9453354,,0,0
nodes:4575165467,Hadyclinic for Plastic Surgery and Burn,Hadyclinic for Plastic Surgery and Burn,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2308163,29.9492136,,0,0
nodes:6948848891,Jamalek Skin Center Smouha,Jamalek Skin Center Smouha,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2154155,29.9447672,,0,0
nodes:9064027917,مبرة العصافرة للتحاليل جليم,Mabarrt Asafra Laboratories,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2385483,29.9630934,,0,0
nodes:6585383385,د. محمد شفيق شاهين,د. محمد شفيق شاهين,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2197891,29.9326961,,0,0
nodes:6082411794,صحة فلمنج,صحة فلمنج,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2446944,29.9661419,,0,0
nodes:6113237388,عيادات الأندلس الحديثة التخصصية,عيادات الأندلس الحديثة التخصصية,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2389199,30.0016332,,0,0
nodes:6115990885,عيادات الحسن التخصصية,عيادات الحسن التخصصية,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2416301,30.0030899,,0,0
nodes:5375599822,عيادات السلامة التخصصية,عيادات السلامة التخصصية,clinic,Alexandria,الاسكندرية,,,,dentist;child_psychiatry;internal;general,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2419168,29.9999766,,0,0
nodes:5375598928,عيادات زهراء السيوف التخصصية,عيادات زهراء السيوف التخصصية,clinic,Alexandria,الاسكندرية,,,,,HDX HOTOSM Egypt Health Facilities / OpenStreetMap contributors (modified 2026-05-06),31.2412802,29.9980108,,0,0
